Source,Destination,Time,frame length,flow lengths,flow bits,Port number,Protocol,Source port number,port 1 status,port 2 status,port 3 status,routing_interface
25.45.123.210/24,102.67.88.14/24,9.908083,408,366,3264,3480,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
201.0.113.19/24,37.201.76.99/24,9.94524,1120,1078,8960,3479,UDP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
37.201.76.99/24,201.0.113.19/24,10.013876,440,398,3520,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
201.0.113.19/24,25.45.123.210/24,10.064568,1322,1280,10576,26541,UDP,GigabitEthernet1/0,down,up,down,GigabitEthernet1/0-TI-LFA
201.0.113.19/24,68.151.104.83/24,10.128605,873,831,6984,443,TCP,GigabitEthernet1/0,down,up,down,GigabitEthernet1/0-TI-LFA
185.44.17.238/24,37.201.76.99/24,10.166633,300,258,2400,8809,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
102.67.88.14/24,68.151.104.83/24,10.219734,321,279,2568,63201,UDP,GigabitEthernet1/0,down,up,down,GigabitEthernet1/0-TI-LFA
185.44.17.238/24,37.201.76.99/24,10.2495,858,816,6864,39001,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
25.45.123.210/24,185.44.17.238/24,10.323787,1254,1212,10032,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
201.0.113.19/24,25.45.123.210/24,10.353496,480,438,3840,443,TCP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
25.45.123.210/24,201.0.113.19/24,10.416245,789,747,6312,8810,UDP,GigabitEthernet2/0,down,down,up,GigabitEthernet2/0
185.44.17.238/24,68.151.104.83/24,10.436971,469,427,3752,20,TCP,GigabitEthernet1/0,down,up,down,GigabitEthernet1/0-TI-LFA
201.0.113.19/24,37.201.76.99/24,10.499974,426,384,3408,8810,UDP,GigabitEthernet1/0,down,up,up,GigabitEthernet2/0
25.45.123.210/24,201.0.113.19/24,10.530414,140,98,1120,3481,UDP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
68.151.104.83/24,102.67.88.14/24,10.603928,484,442,3872,55450,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
37.201.76.99/24,102.67.88.14/24,10.634368,799,757,6392,8803,UDP,GigabitEthernet0/0,up,down,up,GigabitEthernet2/0
201.0.113.19/24,37.201.76.99/24,10.697092,582,540,4656,3480,UDP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
185.44.17.238/24,37.201.76.99/24,10.719408,638,596,5104,25008,UDP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
102.67.88.14/24,37.201.76.99/24,10.784355,806,764,6448,3480,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
102.67.88.14/24,25.45.123.210/24,10.813351,149,107,1192,80,TCP,GigabitEthernet1/0,down,up,up,GigabitEthernet2/0
102.67.88.14/24,37.201.76.99/24,10.890314,264,222,2112,45001,UDP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
185.44.17.238/24,25.45.123.210/24,10.906782,1026,984,8208,443,TCP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
201.0.113.19/24,68.151.104.83/24,10.974631,789,747,6312,56009,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
102.67.88.14/24,37.201.76.99/24,11.002069,313,271,2504,3480,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
37.201.76.99/24,185.44.17.238/24,11.069134,436,394,3488,143,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
102.67.88.14/24,25.45.123.210/24,11.109997,282,240,2256,3479,UDP,GigabitEthernet1/0,down,up,down,GigabitEthernet1/0-TI-LFA
185.44.17.238/24,25.45.123.210/24,11.173223,770,728,6160,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
25.45.123.210/24,201.0.113.19/24,11.20464,932,890,7456,443,TCP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
37.201.76.99/24,201.0.113.19/24,11.277581,512,470,4096,80,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
68.151.104.83/24,185.44.17.238/24,11.328656,113,71,904,3480,UDP,GigabitEthernet0/0,up,down,up,GigabitEthernet2/0
68.151.104.83/24,185.44.17.238/24,11.391391,557,515,4456,53,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
185.44.17.238/24,37.201.76.99/24,11.412493,734,692,5872,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
201.0.113.19/24,25.45.123.210/24,11.497816,744,702,5952,8808,UDP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
25.45.123.210/24,185.44.17.238/24,11.528356,897,855,7176,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
201.0.113.19/24,37.201.76.99/24,11.572272,1234,1192,9872,27001,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
37.201.76.99/24,201.0.113.19/24,11.613011,653,611,5224,443,TCP,GigabitEthernet0/0,up,down,down,GigabitEthernet0/0-TI-LFA
68.151.104.83/24,185.44.17.238/24,11.667818,1089,1047,8712,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
201.0.113.19/24,25.45.123.210/24,11.695928,561,519,4488,8808,UDP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
201.0.113.19/24,25.45.123.210/24,11.763523,359,317,2872,443,TCP,GigabitEthernet2/0,down,down,up,GigabitEthernet2/0
25.45.123.210/24,201.0.113.19/24,11.78122,1050,1008,8400,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
102.67.88.14/24,68.151.104.83/24,11.848026,583,541,4664,27162,UDP,GigabitEthernet1/0,down,up,up,GigabitEthernet2/0
25.45.123.210/24,185.44.17.238/24,11.87707,558,516,4464,8803,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
68.151.104.83/24,102.67.88.14/24,11.934038,1152,1110,9216,80,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
201.0.113.19/24,25.45.123.210/24,11.972058,412,370,3296,8806,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
68.151.104.83/24,201.0.113.19/24,12.041633,875,833,7000,143,TCP,GigabitEthernet0/0,up,down,up,GigabitEthernet2/0
102.67.88.14/24,37.201.76.99/24,12.065753,1412,1370,11296,8802,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
68.151.104.83/24,102.67.88.14/24,12.128464,214,172,1712,443,TCP,GigabitEthernet0/0,up,down,up,GigabitEthernet2/0
201.0.113.19/24,68.151.104.83/24,12.14961,205,163,1640,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
201.0.113.19/24,68.151.104.83/24,12.211346,916,874,7328,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
102.67.88.14/24,37.201.76.99/24,12.231592,133,91,1064,80,TCP,GigabitEthernet1/0,down,up,down,GigabitEthernet1/0-TI-LFA
201.0.113.19/24,68.151.104.83/24,12.231735,560,518,4480,443,TCP,GigabitEthernet1/0,down,up,up,GigabitEthernet2/0
201.0.113.19/24,25.45.123.210/24,12.304774,724,682,5792,443,TCP,GigabitEthernet2/0,down,down,up,GigabitEthernet2/0
185.44.17.238/24,68.151.104.83/24,12.327254,839,797,6712,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
37.201.76.99/24,185.44.17.238/24,12.399985,166,124,1328,3480,UDP,GigabitEthernet2/0,down,down,up,GigabitEthernet2/0
68.151.104.83/24,185.44.17.238/24,12.432906,541,499,4328,3480,UDP,GigabitEthernet2/0,down,down,up,GigabitEthernet2/0
185.44.17.238/24,68.151.104.83/24,12.516864,1030,988,8240,8805,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
102.67.88.14/24,37.201.76.99/24,12.548943,701,659,5608,3480,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
68.151.104.83/24,102.67.88.14/24,12.608911,445,403,3560,20,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
25.45.123.210/24,201.0.113.19/24,12.641326,240,198,1920,3481,UDP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
25.45.123.210/24,185.44.17.238/24,12.702779,333,291,2664,8803,UDP,GigabitEthernet0/0,up,up,down,GigabitEthernet1/0
68.151.104.83/24,185.44.17.238/24,12.734097,272,230,2176,46701,UDP,GigabitEthernet0/0,up,down,down,GigabitEthernet0/0-TI-LFA
25.45.123.210/24,102.67.88.14/24,12.80685,361,319,2888,80,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
185.44.17.238/24,37.201.76.99/24,12.838889,356,314,2848,27015,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
185.44.17.238/24,68.151.104.83/24,12.900227,1394,1352,11152,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
201.0.113.19/24,37.201.76.99/24,12.932125,963,921,7704,8804,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
185.44.17.238/24,37.201.76.99/24,12.984403,360,318,2880,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
102.67.88.14/24,25.45.123.210/24,13.014674,1093,1051,8744,80,TCP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
25.45.123.210/24,201.0.113.19/24,13.087042,1077,1035,8616,8802,UDP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
185.44.17.238/24,25.45.123.210/24,13.108945,642,600,5136,443,TCP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
185.44.17.238/24,37.201.76.99/24,13.208018,231,189,1848,8802,UDP,GigabitEthernet1/0,down,up,up,GigabitEthernet2/0
102.67.88.14/24,68.151.104.83/24,13.246785,783,741,6264,443,TCP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
102.67.88.14/24,37.201.76.99/24,13.32445,1149,1107,9192,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
102.67.88.14/24,25.45.123.210/24,13.352611,192,150,1536,443,TCP,GigabitEthernet1/0,down,up,up,GigabitEthernet2/0
68.151.104.83/24,102.67.88.14/24,13.394595,1228,1186,9824,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
25.45.123.210/24,102.67.88.14/24,13.436452,557,515,4456,28095,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
37.201.76.99/24,201.0.113.19/24,13.500823,777,735,6216,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
25.45.123.210/24,102.67.88.14/24,13.531534,417,375,3336,80,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
68.151.104.83/24,102.67.88.14/24,13.610342,714,672,5712,3480,UDP,GigabitEthernet2/0,down,down,up,GigabitEthernet2/0
37.201.76.99/24,102.67.88.14/24,13.64273,664,622,5312,25009,UDP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
201.0.113.19/24,25.45.123.210/24,13.727598,687,645,5496,25001,UDP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
102.67.88.14/24,37.201.76.99/24,13.769851,1428,1386,11424,8801,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet0/0
25.45.123.210/24,185.44.17.238/24,13.846476,302,260,2416,25050,UDP,GigabitEthernet2/0,down,down,up,GigabitEthernet2/0
37.201.76.99/24,201.0.113.19/24,13.876456,465,423,3720,3481,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
68.151.104.83/24,102.67.88.14/24,13.951592,771,729,6168,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
68.151.104.83/24,201.0.113.19/24,13.972526,706,664,5648,3480,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
185.44.17.238/24,37.201.76.99/24,14.036382,486,444,3888,8809,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
185.44.17.238/24,37.201.76.99/24,14.077188,481,439,3848,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
185.44.17.238/24,37.201.76.99/24,14.130267,282,240,2256,25008,UDP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
25.45.123.210/24,201.0.113.19/24,14.173354,497,455,3976,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
102.67.88.14/24,25.45.123.210/24,14.247225,202,160,1616,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
102.67.88.14/24,37.201.76.99/24,14.27828,1021,979,8168,143,TCP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
102.67.88.14/24,37.201.76.99/24,14.351665,116,74,928,64003,UDP,GigabitEthernet1/0,down,up,down,GigabitEthernet1/0-TI-LFA
201.0.113.19/24,68.151.104.83/24,14.38225,633,591,5064,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet1/0
68.151.104.83/24,201.0.113.19/24,14.459659,881,839,7048,3478,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
37.201.76.99/24,185.44.17.238/24,14.507697,135,93,1080,63001,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
68.151.104.83/24,102.67.88.14/24,14.582994,864,822,6912,443,TCP,GigabitEthernet0/0,up,up,down,GigabitEthernet1/0
201.0.113.19/24,68.151.104.83/24,14.624351,532,490,4256,443,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
25.45.123.210/24,185.44.17.238/24,14.761873,457,415,3656,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
102.67.88.14/24,68.151.104.83/24,14.807279,647,605,5176,3479,UDP,GigabitEthernet1/0,down,up,down,GigabitEthernet1/0-TI-LFA
102.67.88.14/24,37.201.76.99/24,14.876472,1372,1330,10976,3479,UDP,GigabitEthernet1/0,down,up,down,GigabitEthernet1/0-TI-LFA
25.45.123.210/24,201.0.113.19/24,14.901842,320,278,2560,3479,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet2/0
37.201.76.99/24,102.67.88.14/24,14.961654,1127,1085,9016,443,TCP,GigabitEthernet2/0,down,up,up,GigabitEthernet1/0
37.201.76.99/24,201.0.113.19/24,14.987591,570,528,4560,8805,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
68.151.104.83/24,102.67.88.14/24,15.068953,608,566,4864,29263,UDP,GigabitEthernet0/0,up,up,down,GigabitEthernet1/0
201.0.113.19/24,37.201.76.99/24,15.105533,1196,1154,9568,80,TCP,GigabitEthernet1/0,up,up,up,GigabitEthernet1/0
37.201.76.99/24,185.44.17.238/24,15.176588,559,517,4472,3478,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
185.44.17.238/24,25.45.123.210/24,15.199646,433,391,3464,29004,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
37.201.76.99/24,102.67.88.14/24,15.283443,1206,1164,9648,443,TCP,GigabitEthernet0/0,up,down,down,GigabitEthernet0/0-TI-LFA
185.44.17.238/24,68.151.104.83/24,15.336828,896,854,7168,3480,UDP,GigabitEthernet1/0,up,up,down,GigabitEthernet0/0
185.44.17.238/24,37.201.76.99/24,15.400149,414,372,3312,27006,UDP,GigabitEthernet1/0,up,up,up,GigabitEthernet2/0
37.201.76.99/24,102.67.88.14/24,15.461007,884,842,7072,443,TCP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
185.44.17.238/24,68.151.104.83/24,15.545534,1313,1271,10504,8806,UDP,GigabitEthernet2/0,up,down,up,GigabitEthernet0/0
25.45.123.210/24,185.44.17.238/24,15.590192,575,533,4600,64001,UDP,GigabitEthernet0/0,up,down,down,GigabitEthernet0/0-TI-LFA
68.151.104.83/24,201.0.113.19/24,15.674203,618,576,4944,3478,UDP,GigabitEthernet0/0,up,up,up,GigabitEthernet1/0
102.67.88.14/24,25.45.123.210/24,15.674252,699,657,5592,25003,UDP,GigabitEthernet1/0,down,up,up,GigabitEthernet2/0
